jpn;en
札幌市;Sapporo
青森市;Aomori
盛岡市;Morioka
仙台市;Sendai
秋田市;Akita
山形市;Yamagata
福島市;Fukushima
水戸市;Mito
宇都宮市;Utsunomiya
前橋市;Maebashi
さいたま市;Saitama
千葉市;Chiba
新宿区;Shinjuku
横浜市;Yokohama
新潟市;Niigata
富山市;Toyama
金沢市;Kanazawa
福井市;Fukui
甲府市;Kofu
長野市;Nagano
岐阜市;Gifu
静岡市;Shizuoka
名古屋市;Nagoya
津市;Tsu
大津市;Otsu
京都市;Kyoto
大阪市;Osaka
神戸市;Kobe
奈良市;Nara
和歌山市;Wakayama
鳥取市;Tottori
松江市;Matsue
岡山市;Okayama
広島市;Hiroshima
山口市;Yamaguchi
徳島市;Tokushima
高松市;Takamatsu
松山市;Matsuyama
高知市;Kochi
福岡市;Fukuoka
佐賀市;Saga
長崎市;Nagasaki
熊本市;Kumamoto
大分市;Oita
宮崎市;Miyazaki
鹿児島市;Kagoshima
那覇市;Naha
